EmployeeNumber,Age,BusinessTravel,MonthlyIncome,Department,DistanceFromHome,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobRole,MaritalStatus,NumCompaniesWorked,Attrition
165,58,Travel_Rarely,10312,Research & Development,23,Medical,1,4.0,Female,Healthcare Representative,Married,1,1
568,57,Travel_Rarely,14118,Sales,29,Marketing,1,1.0,Male,Manager,Divorced,3,0
1457,46,Travel_Rarely,10096,Sales,9,Marketing,1,1.0,Male,Sales Executive,Divorced,4,1
449,27,Non-Travel,6349,Sales,1,Marketing,1,,Male,Sales Executive,Married,0,0
1770,55,Travel_Rarely,19038,Research & Development,2,Medical,1,3.0,Male,Research Director,Married,8,0
32,53,Travel_Rarely,19094,Research & Development,5,Other,1,3.0,Female,Manager,Divorced,4,0
725,27,Travel_Rarely,7412,Research & Development,1,Life Sciences,1,3.0,Female,Manufacturing Director,Married,1,0
1676,47,Travel_Rarely,15972,Sales,2,Life Sciences,1,2.0,Female,Manager,Divorced,6,0
571,30,Non-Travel,2564,Research & Development,2,Medical,1,3.0,Female,Laboratory Technician,Single,0,0
1006,38,Travel_Frequently,2684,Research & Development,10,Medical,1,3.0,Male,Research Scientist,Married,0,0
879,25,Travel_Rarely,4194,Sales,3,Other,1,3.0,Male,Sales Executive,Married,1,0
430,43,Travel_Frequently,2455,Research & Development,10,Life Sciences,1,3.0,Female,Laboratory Technician,Single,0,0
2003,35,Travel_Rarely,2660,Research & Development,11,Medical,1,4.0,Male,Laboratory Technician,Married,7,0
1987,25,Travel_Rarely,2187,Human Resources,2,Human Resources,1,3.0,Female,Human Resources,Married,4,0
1421,29,Travel_Frequently,7553,Research & Development,14,Other,1,3.0,Female,Healthcare Representative,Single,0,1
1010,35,Travel_Rarely,3743,Research & Development,14,Other,1,3.0,Male,Laboratory Technician,Divorced,1,1
1277,45,Travel_Rarely,18824,Sales,2,Marketing,1,1.0,Female,Manager,Single,2,1
385,50,Travel_Rarely,19144,Research & Development,4,Life Sciences,1,1.0,Male,Research Director,Divorced,3,0
1389,31,Travel_Rarely,6179,Research & Development,22,Medical,1,4.0,Male,Manufacturing Director,Married,1,1
1864,27,Travel_Rarely,3540,Sales,23,Medical,1,2.0,Female,Sales Representative,Married,1,0
580,46,Travel_Rarely,9071,Sales,10,Marketing,1,3.0,Female,Sales Executive,Married,2,0
1468,40,Non-Travel,13757,Research & Development,8,Medical,1,4.0,Male,Research Director,Divorced,2,0
73,33,Travel_Frequently,13458,Research & Development,1,Life Sciences,1,1.0,Female,Research Director,Single,1,0
132,44,Non-Travel,2042,Research & Development,23,Medical,1,2.0,Male,Laboratory Technician,Married,4,0
1014,35,Travel_Rarely,10388,Research & Development,25,Medical,1,3.0,Female,Healthcare Representative,Divorced,1,0
1257,36,Travel_Frequently,3692,Research & Development,3,Technical Degree,1,3.0,Male,Research Scientist,Married,1,0
300,29,Travel_Rarely,2058,Research & Development,1,Technical Degree,1,3.0,Male,Research Scientist,Single,0,1
1244,27,Travel_Rarely,2235,Research & Development,14,Life Sciences,1,1.0,Male,Research Scientist,Married,1,0
417,39,Travel_Rarely,9613,Research & Development,1,Medical,1,,Male,Healthcare Representative,Divorced,0,0
164,26,Travel_Rarely,2368,Research & Development,6,Other,1,3.0,Female,Research Scientist,Married,1,0
1082,28,Non-Travel,8722,Research & Development,24,Technical Degree,1,2.0,Male,Healthcare Representative,Single,1,1
1379,31,Travel_Frequently,2785,Sales,2,Life Sciences,1,3.0,Female,Sales Representative,Single,7,1
1523,44,Travel_Rarely,16328,Research & Development,28,Life Sciences,1,4.0,Male,Research Director,Married,3,0
55,26,Travel_Rarely,2293,Research & Development,25,Life Sciences,1,1.0,Male,Laboratory Technician,Single,1,1
832,40,Travel_Frequently,5094,Research & Development,16,Medical,1,1.0,Male,Laboratory Technician,Single,6,0
1860,42,Travel_Rarely,3968,Research & Development,8,Life Sciences,1,4.0,Male,Laboratory Technician,Single,4,0
1119,38,Travel_Rarely,8740,Sales,10,Marketing,1,3.0,Male,Sales Executive,Divorced,0,0
1541,34,Travel_Rarely,2308,Sales,7,Technical Degree,1,2.0,Male,Sales Representative,Married,0,0
374,55,Travel_Rarely,19045,Research & Development,1,Medical,1,,Male,Manager,Single,0,0
969,33,Travel_Rarely,6949,Research & Development,1,Life Sciences,1,2.0,Female,Healthcare Representative,Single,0,0
1739,32,Travel_Rarely,9610,Sales,19,Life Sciences,1,4.0,Male,Sales Executive,Married,3,0
367,31,Travel_Rarely,5582,Research & Development,23,Medical,1,2.0,Male,Healthcare Representative,Married,0,0
1495,24,Non-Travel,2033,Sales,13,Life Sciences,1,4.0,Female,Sales Representative,Married,1,0
1249,29,Travel_Rarely,3760,Research & Development,1,Life Sciences,1,1.0,Female,Research Scientist,Divorced,1,0
911,32,Travel_Rarely,2795,Research & Development,25,Life Sciences,1,1.0,Male,Laboratory Technician,Single,1,1
1465,45,Travel_Rarely,9380,Research & Development,29,Technical Degree,1,2.0,Male,Manufacturing Director,Married,4,0
21,32,Travel_Rarely,3298,Research & Development,5,Life Sciences,1,1.0,Male,Research Scientist,Divorced,0,0
590,34,Travel_Frequently,9950,Human Resources,23,Human Resources,1,2.0,Female,Human Resources,Divorced,9,1
1387,28,Travel_Rarely,4724,Sales,26,Life Sciences,1,3.0,Male,Sales Executive,Married,1,0
291,32,Travel_Rarely,10400,Sales,4,Medical,1,4.0,Male,Sales Executive,Married,1,1
1649,40,Travel_Rarely,2166,Research & Development,7,Life Sciences,1,1.0,Male,Laboratory Technician,Single,3,1
112,56,Travel_Rarely,7260,Research & Development,7,Life Sciences,1,4.0,Male,Manufacturing Director,Single,4,0
574,47,Travel_Rarely,5070,Research & Development,2,Medical,1,,Female,Manufacturing Director,Divorced,5,0
977,58,Travel_Rarely,2479,Research & Development,2,Technical Degree,1,4.0,Male,Research Scientist,Single,4,1
1150,29,Travel_Rarely,5056,Research & Development,8,Medical,1,2.0,Male,Manufacturing Director,Married,1,0
1639,35,Travel_Rarely,10306,Sales,10,Medical,1,4.0,Male,Sales Executive,Married,9,1
844,27,Travel_Rarely,12808,Research & Development,5,Technical Degree,1,3.0,Male,Research Director,Divorced,1,0
495,29,Travel_Rarely,2201,Research & Development,23,Life Sciences,1,4.0,Male,Research Scientist,Single,9,0
1625,47,Travel_Rarely,19658,Human Resources,26,Life Sciences,1,4.0,Female,Manager,Married,3,0
1549,33,Travel_Rarely,5207,Research & Development,28,Life Sciences,1,2.0,Male,Laboratory Technician,Married,1,0
1714,24,Travel_Rarely,1555,Human Resources,22,Human Resources,1,4.0,Male,Human Resources,Married,1,1
1315,28,Non-Travel,6674,Research & Development,1,Life Sciences,1,3.0,Female,Laboratory Technician,Married,0,0
124,46,Travel_Frequently,10673,Research & Development,1,Medical,1,3.0,Male,Healthcare Representative,Married,2,0
2034,41,Travel_Rarely,13570,Research & Development,28,Life Sciences,1,1.0,Female,Manufacturing Director,Married,0,0
1867,48,Travel_Rarely,19665,Research & Development,10,Life Sciences,1,4.0,Male,Research Director,Married,4,0
985,39,Travel_Rarely,7880,Sales,2,Life Sciences,1,1.0,Male,Sales Executive,Single,0,0
1440,37,Non-Travel,3500,Research & Development,5,Technical Degree,1,3.0,Male,Laboratory Technician,Single,0,0
1635,45,Travel_Rarely,5770,Research & Development,2,Other,1,4.0,Female,Manufacturing Director,Divorced,1,0
1550,40,Travel_Rarely,16437,Human Resources,6,Medical,1,3.0,Male,Manager,Single,1,0
233,27,Travel_Rarely,3058,Research & Development,17,Technical Degree,1,3.0,Male,Research Scientist,Married,0,0
331,32,Travel_Rarely,3730,Research & Development,1,Life Sciences,1,4.0,Male,Laboratory Technician,Single,0,1
1436,36,Travel_Rarely,5647,Sales,16,Marketing,1,3.0,Female,Sales Executive,Married,4,0
11,30,Travel_Rarely,2693,Research & Development,24,Life Sciences,1,4.0,Male,Laboratory Technician,Divorced,1,0
473,48,Travel_Rarely,12504,Sales,29,Medical,1,1.0,Female,Manager,Married,3,0
1263,48,Travel_Rarely,18265,Research & Development,1,Life Sciences,1,4.0,Male,Research Director,Single,6,0
1611,45,Travel_Rarely,5769,Research & Development,5,Medical,1,3.0,Female,Laboratory Technician,Single,1,0
631,32,Non-Travel,4707,Sales,11,Other,1,4.0,Male,Sales Executive,Married,8,1
369,25,Non-Travel,4000,Research & Development,5,Life Sciences,1,,Male,Healthcare Representative,Divorced,1,0
1802,40,Travel_Rarely,3377,Research & Development,2,Life Sciences,1,3.0,Female,Laboratory Technician,Married,4,0
182,39,Travel_Rarely,5902,Sales,4,Life Sciences,1,4.0,Female,Sales Executive,Married,4,0
727,32,Travel_Rarely,11159,Research & Development,3,Life Sciences,1,3.0,Female,Research Director,Single,3,0
1878,22,Travel_Rarely,2472,Research & Development,7,Life Sciences,1,4.0,Male,Research Scientist,Single,1,1
1097,28,Travel_Rarely,3660,Research & Development,10,Other,1,3.0,Female,Research Scientist,Single,3,0
1928,29,Travel_Frequently,1091,Sales,24,Technical Degree,1,3.0,Male,Sales Representative,Single,1,1
249,50,Travel_Rarely,3690,Research & Development,1,Medical,1,3.0,Male,Laboratory Technician,Married,2,0
1069,46,Travel_Rarely,19627,Research & Development,1,Medical,1,4.0,Male,Research Director,Divorced,9,0
492,40,Travel_Rarely,6380,Sales,22,Marketing,1,,Male,Sales Executive,Married,2,1
464,35,Travel_Rarely,8095,Research & Development,5,Technical Degree,1,3.0,Male,Manufacturing Director,Single,0,0
944,49,Travel_Rarely,7403,Research & Development,8,Other,1,1.0,Female,Laboratory Technician,Married,4,0
80,50,Travel_Rarely,18740,Research & Development,7,Medical,1,2.0,Female,Research Director,Divorced,5,0
1066,40,Travel_Rarely,8396,Sales,26,Marketing,1,3.0,Male,Sales Executive,Married,1,0
1098,44,Travel_Rarely,10482,Human Resources,1,Medical,1,2.0,Male,Human Resources,Married,9,1
747,30,Travel_Rarely,5304,Sales,27,Marketing,1,3.0,Male,Sales Executive,Divorced,7,0
1757,49,Travel_Rarely,4507,Sales,11,Marketing,1,4.0,Female,Sales Executive,Single,3,0
771,35,Non-Travel,5093,Research & Development,2,Life Sciences,1,4.0,Female,Healthcare Representative,Divorced,2,0
2016,32,Travel_Rarely,10422,Sales,1,Marketing,1,3.0,Female,Sales Executive,Married,1,0
1857,46,Travel_Rarely,8578,Research & Development,2,Life Sciences,1,4.0,Male,Manufacturing Director,Divorced,3,0
1422,54,Travel_Rarely,17328,Research & Development,1,Medical,1,4.0,Female,Research Director,Single,6,0
1435,36,Travel_Rarely,5810,Research & Development,4,Life Sciences,1,1.0,Male,Laboratory Technician,Single,1,0
1250,54,Travel_Rarely,17779,Research & Development,3,Life Sciences,1,,Male,Research Director,Married,3,0
83,36,Travel_Rarely,10096,Research & Development,8,Technical Degree,1,3.0,Female,Healthcare Representative,Divorced,1,0
1173,24,Travel_Rarely,3597,Research & Development,24,Medical,1,,Male,Laboratory Technician,Single,8,0
647,24,Travel_Frequently,2886,Research & Development,7,Life Sciences,1,1.0,Female,Laboratory Technician,Married,1,1
339,34,Travel_Rarely,5957,Research & Development,2,Life Sciences,1,4.0,Male,Manufacturing Director,Married,6,0
1019,22,Travel_Rarely,2451,Research & Development,8,Life Sciences,1,2.0,Male,Laboratory Technician,Married,1,0
1774,34,Non-Travel,4001,Sales,10,Life Sciences,1,,Male,Sales Executive,Divorced,1,0
1391,51,Travel_Frequently,10596,Sales,2,Marketing,1,,Male,Sales Executive,Married,2,0
1188,43,Travel_Rarely,5346,Sales,9,Marketing,1,1.0,Female,Sales Executive,Single,8,1
1981,24,Travel_Rarely,4617,Research & Development,1,Life Sciences,1,2.0,Male,Healthcare Representative,Single,1,0
45,24,Travel_Rarely,2293,Research & Development,1,Medical,1,2.0,Male,Research Scientist,Married,2,1
421,38,Travel_Rarely,12061,Research & Development,25,Life Sciences,1,1.0,Female,Research Director,Married,3,0
1845,45,Non-Travel,5154,Sales,2,Life Sciences,1,3.0,Female,Sales Executive,Married,4,0
260,27,Travel_Rarely,2279,Research & Development,9,Medical,1,4.0,Female,Research Scientist,Single,1,0
966,32,Travel_Rarely,6725,Research & Development,3,Medical,1,3.0,Female,Manufacturing Director,Married,1,0
1431,34,Travel_Frequently,2996,Research & Development,1,Other,1,4.0,Male,Research Scientist,Divorced,5,0
1744,45,Travel_Rarely,9756,Human Resources,4,Life Sciences,1,3.0,Female,Human Resources,Married,4,0
491,50,Travel_Rarely,10496,Research & Development,10,Technical Degree,1,4.0,Male,Healthcare Representative,Single,6,0
1177,26,Travel_Rarely,4420,Research & Development,3,Medical,1,1.0,Male,Laboratory Technician,Married,1,0
423,31,Travel_Rarely,4821,Research & Development,5,Technical Degree,1,3.0,Male,Research Scientist,Married,0,0
150,24,Travel_Rarely,2774,Research & Development,18,Life Sciences,1,2.0,Male,Laboratory Technician,Married,0,0
1044,33,Non-Travel,2342,Sales,8,Life Sciences,1,2.0,Female,Sales Representative,Single,0,0
1799,28,Travel_Rarely,2044,Research & Development,1,Life Sciences,1,,Male,Research Scientist,Married,1,0
501,36,Travel_Rarely,2543,Research & Development,2,Life Sciences,1,4.0,Female,Research Scientist,Married,4,0
1729,30,Travel_Rarely,2862,Research & Development,16,Life Sciences,1,2.0,Male,Research Scientist,Married,1,0
981,53,Travel_Rarely,14852,Sales,2,Medical,1,3.0,Male,Manager,Divorced,6,0
1219,24,Travel_Rarely,2210,Research & Development,17,Life Sciences,1,4.0,Female,Laboratory Technician,Married,1,1
47,50,Travel_Rarely,2683,Sales,3,Marketing,1,1.0,Male,Sales Representative,Married,1,1
543,52,Travel_Rarely,7969,Research & Development,3,Medical,1,4.0,Male,Manufacturing Director,Married,2,0
275,49,Non-Travel,6804,Research & Development,18,Life Sciences,1,,Male,Manufacturing Director,Divorced,1,0
1394,37,Travel_Rarely,2996,Research & Development,4,Life Sciences,1,3.0,Male,Research Scientist,Married,7,0
1691,48,Travel_Frequently,2655,Sales,7,Medical,1,4.0,Female,Sales Representative,Married,2,1
1701,34,Travel_Rarely,2929,Research & Development,19,Life Sciences,1,2.0,Female,Research Scientist,Married,1,0
902,43,Travel_Frequently,5562,Research & Development,1,Life Sciences,1,,Female,Healthcare Representative,Married,4,0
1794,37,Travel_Rarely,4071,Human Resources,8,Other,1,3.0,Male,Human Resources,Divorced,2,0
645,25,Travel_Rarely,2096,Sales,13,Medical,1,2.0,Male,Sales Representative,Married,1,0
1853,32,Travel_Frequently,4648,Sales,10,Marketing,1,4.0,Male,Sales Executive,Single,8,0
878,36,Travel_Rarely,2342,Human Resources,8,Life Sciences,1,1.0,Male,Human Resources,Married,0,0
1775,53,Non-Travel,12965,Research & Development,1,Medical,1,1.0,Female,Manufacturing Director,Married,4,0
1780,21,Travel_Rarely,2679,Sales,7,Marketing,1,2.0,Male,Sales Representative,Single,1,1
882,32,Non-Travel,2314,Research & Development,1,Life Sciences,1,4.0,Male,Laboratory Technician,Divorced,0,0
36,44,Travel_Rarely,10248,Research & Development,7,Medical,1,1.0,Female,Healthcare Representative,Married,3,0
1975,39,Travel_Rarely,13341,Sales,15,Marketing,1,2.0,Male,Sales Executive,Single,0,0
131,58,Travel_Rarely,13872,Sales,10,Medical,1,4.0,Male,Sales Executive,Single,0,0
1534,40,Travel_Rarely,2018,Research & Development,9,Life Sciences,1,4.0,Male,Laboratory Technician,Single,3,1
638,49,Travel_Rarely,19502,Research & Development,18,Life Sciences,1,4.0,Male,Research Director,Divorced,1,0
848,26,Travel_Frequently,2366,Research & Development,5,Medical,1,,Female,Research Scientist,Married,1,1
221,28,Travel_Rarely,2713,Research & Development,21,Medical,1,3.0,Male,Research Scientist,Married,1,0
1115,34,Non-Travel,2979,Research & Development,3,Life Sciences,1,3.0,Male,Research Scientist,Married,3,0
1114,33,Travel_Frequently,4302,Sales,7,Life Sciences,1,4.0,Female,Sales Executive,Married,0,0
1736,31,Travel_Frequently,5238,Research & Development,24,Technical Degree,1,4.0,Female,Manufacturing Director,Single,2,0
1319,52,Travel_Rarely,8446,Sales,5,Life Sciences,1,2.0,Male,Sales Executive,Single,9,1
1496,44,Travel_Frequently,10209,Research & Development,2,Medical,1,2.0,Male,Manufacturing Director,Single,5,0
246,31,Travel_Rarely,3929,Research & Development,12,Medical,1,3.0,Female,Research Scientist,Married,8,0
975,35,Travel_Rarely,4601,Sales,18,Medical,1,3.0,Female,Sales Executive,Married,1,0
992,33,Non-Travel,17444,Sales,17,Life Sciences,1,4.0,Male,Manager,Single,1,0
1329,41,Non-Travel,6151,Sales,10,Medical,1,3.0,Male,Sales Executive,Single,1,0
1836,26,Travel_Rarely,4684,Sales,10,Medical,1,3.0,Male,Sales Executive,Single,1,0
95,31,Travel_Rarely,2501,Research & Development,1,Medical,1,3.0,Male,Research Scientist,Single,1,0
593,22,Travel_Frequently,3894,Research & Development,4,Technical Degree,1,3.0,Male,Laboratory Technician,Single,5,1
151,34,Travel_Rarely,4505,Research & Development,6,Life Sciences,1,3.0,Female,Research Scientist,Divorced,6,0
1562,30,Travel_Rarely,9714,Sales,1,Life Sciences,1,2.0,Male,Sales Executive,Married,1,1
475,30,Non-Travel,4736,Sales,25,Technical Degree,1,4.0,Female,Sales Executive,Married,7,0
677,33,Travel_Rarely,7104,Sales,8,Marketing,1,3.0,Male,Sales Executive,Divorced,0,0
1233,60,Travel_Rarely,5220,Sales,7,Marketing,1,2.0,Male,Sales Executive,Divorced,0,0
2052,35,Travel_Rarely,2977,Research & Development,1,Life Sciences,1,3.0,Female,Research Scientist,Married,1,0
1361,40,Travel_Rarely,2387,Research & Development,1,Life Sciences,1,2.0,Male,Laboratory Technician,Married,3,0
584,33,Travel_Rarely,3408,Research & Development,10,Medical,1,1.0,Male,Laboratory Technician,Divorced,7,1
1994,33,Non-Travel,2008,Research & Development,1,Medical,1,2.0,Male,Laboratory Technician,Divorced,1,0
896,29,Travel_Rarely,2800,Sales,1,Medical,1,2.0,Female,Sales Representative,Divorced,6,1
700,27,Travel_Rarely,2045,Research & Development,3,Medical,1,1.0,Male,Research Scientist,Single,0,0
1022,48,Travel_Rarely,4240,Research & Development,6,Life Sciences,1,,Male,Healthcare Representative,Single,2,0
1372,55,Travel_Rarely,13695,Sales,13,Marketing,1,1.0,Male,Sales Executive,Single,6,1
1128,40,Travel_Rarely,19626,Research & Development,14,Medical,1,3.0,Male,Research Director,Single,1,0
1350,35,Travel_Frequently,4249,Research & Development,4,Life Sciences,1,3.0,Male,Research Scientist,Single,1,0
1642,44,Travel_Frequently,5743,Human Resources,1,Human Resources,1,1.0,Male,Human Resources,Married,4,0
707,25,Travel_Rarely,4851,Sales,8,Life Sciences,1,4.0,Male,Sales Executive,Married,0,0
702,33,Travel_Frequently,3348,Research & Development,3,Life Sciences,1,1.0,Male,Research Scientist,Single,1,1
1193,19,Travel_Rarely,2552,Research & Development,9,Life Sciences,1,3.0,Male,Research Scientist,Single,1,0
701,20,Travel_Rarely,1009,Research & Development,10,Medical,1,4.0,Male,Research Scientist,Single,1,1
35,42,Travel_Rarely,6825,Sales,8,Marketing,1,3.0,Male,Sales Executive,Married,0,0
470,42,Travel_Rarely,2696,Human Resources,2,Technical Degree,1,3.0,Male,Human Resources,Divorced,0,0
733,27,Travel_Frequently,8793,Research & Development,10,Life Sciences,1,4.0,Male,Manufacturing Director,Divorced,1,0
843,43,Travel_Rarely,17159,Research & Development,14,Life Sciences,1,2.0,Male,Research Director,Married,6,0
1989,30,Travel_Rarely,3748,Research & Development,1,Medical,1,4.0,Male,Laboratory Technician,Married,1,0
1653,25,Travel_Frequently,5206,Research & Development,2,Life Sciences,1,4.0,Male,Manufacturing Director,Divorced,1,0
889,32,Travel_Frequently,6524,Sales,5,Life Sciences,1,2.0,Male,Sales Executive,Married,1,0
167,19,Travel_Rarely,1675,Sales,22,Marketing,1,4.0,Male,Sales Representative,Single,1,1
1694,55,Travel_Rarely,3537,Research & Development,22,Technical Degree,1,1.0,Male,Research Scientist,Divorced,5,0
199,41,Travel_Frequently,17181,Research & Development,10,Life Sciences,1,4.0,Male,Manager,Divorced,4,0
1905,34,Non-Travel,2307,Research & Development,16,Technical Degree,1,4.0,Male,Research Scientist,Married,1,1
466,41,Travel_Rarely,6032,Research & Development,6,Medical,1,4.0,Male,Manufacturing Director,Single,6,0
856,35,Travel_Rarely,2559,Research & Development,27,Medical,1,3.0,Female,Research Scientist,Single,1,0
1936,39,Travel_Rarely,5151,Research & Development,9,Medical,1,1.0,Male,Manufacturing Director,Married,1,0
799,54,Travel_Rarely,5485,Research & Development,19,Medical,1,,Female,Manufacturing Director,Divorced,9,0
920,43,Travel_Rarely,4765,Research & Development,8,Life Sciences,1,1.0,Female,Manufacturing Director,Divorced,4,0
405,18,Travel_Rarely,1420,Research & Development,3,Life Sciences,1,3.0,Male,Laboratory Technician,Single,1,1
895,31,Travel_Rarely,2356,Research & Development,11,Life Sciences,1,4.0,Male,Research Scientist,Married,3,0
1666,43,Travel_Rarely,17603,Research & Development,15,Life Sciences,1,3.0,Male,Research Director,Married,1,0
1143,29,Travel_Frequently,3291,Research & Development,10,Life Sciences,1,4.0,Female,Research Scientist,Divorced,0,0
1779,34,Travel_Rarely,6029,Sales,3,Life Sciences,1,4.0,Female,Sales Executive,Single,5,0
158,43,Travel_Frequently,16959,Sales,26,Life Sciences,1,,Male,Manager,Married,1,0
64,48,Travel_Rarely,5381,Research & Development,1,Life Sciences,1,1.0,Male,Laboratory Technician,Single,9,1
1883,29,Travel_Rarely,2062,Research & Development,7,Life Sciences,1,4.0,Male,Laboratory Technician,Single,3,0
458,27,Travel_Rarely,6214,Sales,8,Marketing,1,2.0,Female,Sales Executive,Married,1,0
564,29,Travel_Rarely,11935,Research & Development,3,Medical,1,2.0,Male,Research Director,Married,1,0
1175,28,Travel_Rarely,2515,Research & Development,12,Life Sciences,1,3.0,Female,Laboratory Technician,Married,1,1
663,43,Travel_Frequently,5679,Research & Development,9,Medical,1,4.0,Male,Laboratory Technician,Divorced,3,0
1380,35,Travel_Frequently,4614,Sales,18,Marketing,1,4.0,Female,Sales Executive,Married,0,1
1138,49,Travel_Rarely,13120,Sales,8,Technical Degree,1,4.0,Male,Sales Executive,Married,6,0
1283,59,Travel_Rarely,10512,Research & Development,18,Medical,1,,Male,Manufacturing Director,Single,6,0
834,45,Travel_Rarely,2274,Research & Development,2,Life Sciences,1,2.0,Female,Research Scientist,Single,1,0
1317,50,Travel_Rarely,16880,Research & Development,28,Life Sciences,1,4.0,Female,Research Director,Married,4,0
1543,37,Travel_Rarely,4285,Research & Development,13,Medical,1,1.0,Male,Research Scientist,Married,1,0
424,31,Travel_Rarely,6410,Human Resources,2,Human Resources,1,1.0,Male,Human Resources,Married,3,0
1243,35,Non-Travel,10377,Sales,8,Marketing,1,3.0,Female,Sales Executive,Married,4,0
298,41,Travel_Rarely,13591,Sales,6,Life Sciences,1,4.0,Female,Manager,Single,3,0
1374,34,Non-Travel,2029,Research & Development,26,Technical Degree,1,1.0,Female,Research Scientist,Divorced,1,0
925,47,Travel_Rarely,3294,Sales,2,Life Sciences,1,4.0,Female,Sales Representative,Single,1,0
1755,34,Travel_Rarely,2932,Research & Development,2,Medical,1,,Male,Research Scientist,Married,0,0
452,45,Travel_Rarely,3697,Research & Development,8,Other,1,4.0,Male,Research Scientist,Married,9,0
1118,52,Travel_Rarely,10445,Research & Development,7,Life Sciences,1,2.0,Male,Healthcare Representative,Single,7,0
887,49,Travel_Rarely,3580,Research & Development,1,Technical Degree,1,3.0,Female,Research Scientist,Married,2,0
958,36,Travel_Rarely,2519,Research & Development,2,Medical,1,3.0,Male,Laboratory Technician,Single,4,0
1710,36,Travel_Rarely,4502,Sales,2,Life Sciences,1,3.0,Female,Sales Representative,Single,3,0
1866,43,Travel_Rarely,19392,Research & Development,6,Medical,1,1.0,Female,Manager,Married,7,0
1033,37,Travel_Rarely,4777,Research & Development,11,Medical,1,1.0,Female,Healthcare Representative,Married,5,1
52,33,Travel_Frequently,5376,Sales,1,Life Sciences,1,3.0,Female,Sales Executive,Married,2,0
1396,32,Travel_Rarely,4078,Sales,2,Marketing,1,3.0,Male,Sales Executive,Married,0,0
235,19,Travel_Frequently,2325,Sales,1,Technical Degree,1,3.0,Female,Sales Representative,Single,0,1
1314,46,Travel_Rarely,3423,Human Resources,1,Life Sciences,1,,Female,Human Resources,Single,6,0
1800,39,Travel_Rarely,13464,Research & Development,10,Medical,1,,Male,Research Director,Single,7,0
1580,34,Travel_Rarely,5484,Research & Development,1,Life Sciences,1,,Male,Research Scientist,Married,9,0
5,33,Travel_Frequently,2909,Research & Development,3,Life Sciences,1,,Female,Research Scientist,Married,1,0
1980,54,Travel_Rarely,4440,Research & Development,10,Medical,1,3.0,Female,Manufacturing Director,Single,6,0
516,40,Travel_Rarely,5715,Sales,2,Marketing,1,4.0,Female,Sales Executive,Divorced,7,0
1932,34,Travel_Frequently,5747,Research & Development,22,Other,1,,Male,Research Scientist,Married,1,0
378,37,Travel_Rarely,6502,Sales,6,Medical,1,3.0,Male,Sales Executive,Married,4,0
1941,49,Travel_Frequently,19161,Research & Development,2,Life Sciences,1,2.0,Male,Research Director,Married,3,0
1192,29,Travel_Rarely,3131,Research & Development,6,Medical,1,2.0,Female,Laboratory Technician,Married,1,0
1555,32,Travel_Rarely,5878,Research & Development,5,Life Sciences,1,4.0,Female,Research Scientist,Married,3,0
1546,45,Travel_Rarely,2132,Research & Development,28,Technical Degree,1,4.0,Male,Research Scientist,Married,4,0
1191,56,Travel_Rarely,19943,Research & Development,4,Technical Degree,1,,Female,Manager,Divorced,4,0
1970,33,Travel_Frequently,5968,Research & Development,7,Life Sciences,1,4.0,Male,Healthcare Representative,Divorced,1,0
86,45,Travel_Rarely,9724,Research & Development,7,Life Sciences,1,2.0,Male,Research Scientist,Divorced,2,0
407,36,Travel_Frequently,3688,Research & Development,18,Life Sciences,1,3.0,Male,Laboratory Technician,Married,4,0
1803,42,Travel_Rarely,5538,Research & Development,13,Medical,1,2.0,Male,Healthcare Representative,Married,5,0
1441,56,Travel_Rarely,2066,Research & Development,1,Life Sciences,1,1.0,Female,Research Scientist,Married,2,0
1839,18,Non-Travel,1514,Research & Development,14,Medical,1,2.0,Female,Research Scientist,Single,1,0
231,32,Travel_Rarely,3038,Research & Development,6,Life Sciences,1,3.0,Male,Research Scientist,Single,3,0
1783,22,Travel_Rarely,2398,Research & Development,8,Medical,1,3.0,Female,Laboratory Technician,Married,1,1
1934,47,Non-Travel,5467,Research & Development,14,Technical Degree,1,3.0,Male,Research Scientist,Married,8,0
1501,55,Travel_Rarely,4035,Research & Development,4,Life Sciences,1,4.0,Male,Healthcare Representative,Married,0,0
1251,31,Travel_Rarely,6833,Research & Development,11,Medical,1,3.0,Male,Healthcare Representative,Married,1,0
1027,27,Travel_Rarely,4227,Research & Development,2,Life Sciences,1,1.0,Female,Manufacturing Director,Married,0,0
1212,40,Travel_Frequently,4327,Sales,2,Medical,1,2.0,Male,Sales Executive,Married,5,0
746,47,Travel_Frequently,13770,Sales,3,Medical,1,4.0,Female,Sales Executive,Divorced,9,0
485,33,Travel_Rarely,2851,Sales,5,Marketing,1,4.0,Female,Sales Representative,Single,1,1
1581,26,Travel_Rarely,2061,Research & Development,3,Life Sciences,1,1.0,Female,Research Scientist,Married,1,0
1974,31,Travel_Rarely,1129,Research & Development,2,Medical,1,4.0,Female,Laboratory Technician,Divorced,1,0
1609,30,Travel_Rarely,2141,Research & Development,7,Medical,1,2.0,Male,Research Scientist,Married,1,0
1204,46,Travel_Rarely,17048,Sales,2,Marketing,1,3.0,Female,Manager,Married,8,0
195,32,Travel_Frequently,4668,Sales,9,Medical,1,4.0,Male,Sales Executive,Divorced,0,0
742,36,Non-Travel,11713,Research & Development,8,Life Sciences,1,1.0,Female,Research Director,Married,9,0
